,Unnamed: 0,date,location,text
0,0,07-07-2020 23:54,"Bengaluru, India","RT @IPSHemant: We @BlrCityPolice stand tall in fight against #COVID19

As on today;
•5 of us laid life in line of duty
•395 of us tested po…"
1,1,07-07-2020 23:54,"Bengaluru, India",RT @DNRamki: 30. 33. 53. 76. 83. Those are the ages of the last 5 patients who died in the ICU during my shifts in the last 2 weeks due to…
3,3,07-07-2020 23:48,India,"SLOW paced @WHO NOW says #Covid could be Airborne... How funny!!

Good that @POTUS decided to  leave it.

Our PM… https://t.co/jEEniuBjQK"
4,4,07-07-2020 23:47,India,"RT @IPSHemant: We @BlrCityPolice stand tall in fight against #COVID19

As on today;
•5 of us laid life in line of duty
•395 of us tested po…"
5,5,07-07-2020 23:47,"Chennai, India",RT @Vijayabaskarofl: Despite the #lockdown challenges the tremendous support by the #PWD Department for infrastructure expansion like layin…
6,6,07-07-2020 23:41,"Bengaluru, India","RT @Sowmyareddyr: As majority of #ASYMPTOMATIC people can opt for #HomeIsolation, let's support and help people in this by #counseling and…"
7,7,07-07-2020 23:41,"Kaziranga National Park, India","RT @himantabiswa: 📌 Discharge Alert

3⃣9⃣7⃣ more patients have been discharged.

Amid rising number of #COVID cases, it's heartening that w…"
8,8,07-07-2020 23:36,India,"Despite an early, stringent lockdown, India has seen a constant rise in #COVID-19 cases and the economic cost has y… https://t.co/tAAucxYVn8"
9,9,07-07-2020 23:35,India,"RT @IPSHemant: We @BlrCityPolice stand tall in fight against #COVID19

As on today;
•5 of us laid life in line of duty
•395 of us tested po…"
12,12,07-07-2020 23:24,"Hyderabad, India","RT @ishafoundation: Through stringent social distancing, hygiene and unique best practices, #IshaYogaCenter has remained #COVID-19 free thr…"
13,13,07-07-2020 23:24,"Bengaluru, India","RT @IPSHemant: We @BlrCityPolice stand tall in fight against #COVID19

As on today;
•5 of us laid life in line of duty
•395 of us tested po…"
14,14,07-07-2020 23:20,India,RT @AshishSPradhan: As clock ticks down on Friday deadline to renew authorization of crucial humanitarian corridors supplying aid to #Syria…
16,16,07-07-2020 23:01,India,RT @Dev_Fadnavis: Nashik | Interacting with media after visits to #COVID hospitals.#CoronaInMaharashtra https://t.co/s0DumE4iMQ
18,18,07-07-2020 23:00,"Bengaluru South, India","RT @IPSHemant: We @BlrCityPolice stand tall in fight against #COVID19

As on today;
•5 of us laid life in line of duty
•395 of us tested po…"
20,20,07-07-2020 22:56,"Trivandrum, India",Implications of the new #JobRetentionBonus announced by the #UK govt. relies solely on the intensity of #COVID spre… https://t.co/fUqfpQ4sbP
22,22,07-07-2020 22:44,"Bengaluru, India","RT @IPSHemant: We @BlrCityPolice stand tall in fight against #COVID19

As on today;
•5 of us laid life in line of duty
•395 of us tested po…"
23,23,07-07-2020 22:40,"Kolkata, India","Day 7 - Ask For Help 
#mentalhealth #mentalhealthawareness #anxiety #selfcare #depression #selflove #love… https://t.co/aotWNluvO5"
24,24,07-07-2020 22:31,India,"RT @Kurmanath: So sad. RTC conductor-singer-lyricist Nissar succumbed to #COVID19.
Here's a song on #COVID19 woes sung by him.
#Telangana #…"
25,25,07-07-2020 22:28,India,"RT @revathitweets: 30yr old Prudhvi Raj collapses&amp; dies in front of Xenia Multi Speciality Hospital, ECIL.After the hospital allegedly shoo…"
26,26,07-07-2020 22:22,"Mumbai, India",RT @DNRamki: 30. 33. 53. 76. 83. Those are the ages of the last 5 patients who died in the ICU during my shifts in the last 2 weeks due to…
27,27,07-07-2020 22:22,"Navi Mumbai, India","RT @RailMinIndia: Innovative minds in Indian Railways showcase their creative skills to combat #CoVID

An ideal device to ensure #socialdis…"
28,28,07-07-2020 22:15,"Hyderabad, India","#Telangana witnesses huge jump in #Covid-19 cases, deaths - https://t.co/yDFiknTkhv"
31,31,07-07-2020 22:06,"Andaman Nicobar Islands, India","@Andaman_Admin serially fails to provide correct info during #COVID-times

Triggers sharp reactions from the Island… https://t.co/ItFbnGNfGg"
32,32,07-07-2020 21:57,India,"RT @MargaretSiegien: Scientists warn of potential wave of #COVID-linked #BrainDamage 
#COVID19 #coronavirus #COVID19
| Article [AMP] | Reut…"
34,34,07-07-2020 21:51,"Bengaluru 🚥😷, India","RT @IPSHemant: We @BlrCityPolice stand tall in fight against #COVID19

As on today;
•5 of us laid life in line of duty
•395 of us tested po…"
35,35,07-07-2020 21:49,"Bengaluru, India","RT @IPSHemant: We @BlrCityPolice stand tall in fight against #COVID19

As on today;
•5 of us laid life in line of duty
•395 of us tested po…"
36,36,07-07-2020 21:47,"Coimbatore, India","RT @behindwoods: #Covid patients to be screened #Rajinikanth's #Darbar to beat the blues?
https://t.co/V64G7bvb7l https://t.co/YclrTtJQBf"
37,37,07-07-2020 21:42,"Maharashtra, India",RT @Dev_Fadnavis: Nashik | Interacting with media after visits to #COVID hospitals.#CoronaInMaharashtra https://t.co/s0DumE4iMQ
