,Unnamed: 0,Unnamed: 0.1,date,location,text
30,40,40,07 07 2020 21 37,new delhi india,us centers disease control rates eating restaurant medium high risk activity possibly
45,58,58,07 07 2020 20 43,delhi india,rt covid hearing press briefing tom 4 almost month talk abt 15 aug deadl
48,61,61,07 07 2020 20 40,new delhi india,rt innovative minds indian railways showcase creative skills combat covid ideal device ensure socialdis
104,122,122,07 07 2020 19 42,new delhi india,rt stand tall fight covid19 today 5 us laid life line duty 395 us tested po
120,138,138,07 07 2020 19 35,new delhi india,founded anti imperialist global long history bringing market low priced generic
134,153,153,07 07 2020 19 27,new delhi india,rt excellent discussion today h e foreign minister malaysia wide range issues mutual
145,164,164,07 07 2020 19 20,india sullia bengaluru delhi,rt stand tall fight covid19 today 5 us laid life line duty 395 us tested po
147,166,166,07 07 2020 19 17,new delhi india,rt fadnavis nashik interacting media visits covid hospitals coronainmaharashtra
170,189,189,07 07 2020 18 58,new delhi india,5 worst hit states terms total deaths 07 07 20 1 maharashtra 9 448 2 delhi 3 213 3
171,190,190,07 07 2020 18 58,new delhi india,5 worst hit states terms active cases 07 07 20 1 maharashtra 91 065 2 tamilnadu 46 483 3
191,212,212,07 07 2020 18 33,new delhi india,rt innovative minds indian railways showcase creative skills combat covid ideal device ensure socialdis
202,223,223,07 07 2020 18 27,new delhi india,karnataka considering awarding 5 marks neetexams students involved covid related work says minister
214,236,236,07 07 2020 18 19,new delhi india,rt discharge alert 3 9 7 patients discharged amid rising number covid cases heartening w
216,238,238,07 07 2020 18 17,new delhi india,rt till 7 pm lock 6 districts bihar due increasing number covid 19 patients patna nawada buxa
226,248,248,07 07 2020 18 13,new delhi india,rt anyone interesting reading understanding doubling covid data tweeted copy may hel
230,252,252,07 07 2020 18 12,new delhi india,rt 30 33 53 76 83 ages last 5 patients died icu shifts last 2 weeks due
235,258,258,07 07 2020 18 10,delhi india,rt 1340 beds covid patients available gandhi hospital 1058 king koti 238 chest hospital 25 fever hospital
263,288,288,07 07 2020 17 52,new delhi india,rt discuss need aids2020virtual empower communities hold institution
318,346,346,07 07 2020 17 31,new delhi india,rt magnanimous approach effective covid management sdm raibareilly mr vinaykumar induced idea free
337,365,365,07 07 2020 17 22,new delhi india,rt stringent social distancing hygiene unique best practices ishayogacenter remained covid 19 free thr
351,380,380,07 07 2020 17 16,new delhi india,wants atmanirbharbharat possible el
380,410,410,07 07 2020 17 09,new delhi ncr india,covid update maharashtra july 8 6603 fresh cases amp 198 deaths today tally positive cases 223724 dearh toll 9448
424,456,456,07 07 2020 16 55,new delhi india lucknow,vikasdubey absconds plain sight car abandoned etawah spotted faridabad fugitive
