,Unnamed: 0,Unnamed: 0.1,date,location,text
9,12,12,07 07 2020 23 24,hyderabad india,rt stringent social distancing hygiene unique best practices ishayogacenter remained covid 19 free thr
21,28,28,07 07 2020 22 15,hyderabad india,telangana witnesses huge jump covid 19 cases deaths
35,46,46,07 07 2020 21 12,hyderabad india,rt mondaymotivation helping kids early healthy relationship onlinesafety amp internet esp much
38,49,49,07 07 2020 21 02,hyderabad telangana india,rt 30yr old prudhvi raj collapses amp dies front xenia multi speciality hospital ecil hospital allegedly shoo
42,55,55,07 07 2020 20 52,hyderabad india,rt pandemic scammers robbed us consumers 77m covid coronavirus virus infosec secu
44,57,57,07 07 2020 20 46,hyderabad india,rt 30yr old prudhvi raj collapses amp dies front xenia multi speciality hospital ecil hospital allegedly shoo
59,73,73,07 07 2020 20 25,hyderabad india,rt andhrapradesh takes one proactive step towards fighting covid19 includes covid treatment suspected confi
67,81,81,07 07 2020 20 18,hyderabad india,rt india might see 2 87 lakh covid cases per day february 2021 study reveals
93,111,111,07 07 2020 19 50,hyderabad india,rt andhrapradesh takes one proactive step towards fighting covid19 includes covid treatment suspected confi
106,124,124,07 07 2020 19 41,hyderabad india,rt 1340 beds covid patients available gandhi hospital 1058 king koti 238 chest hospital 25 fever hospital
124,142,142,07 07 2020 19 32,hyderabad india,rt andhrapradesh takes one proactive step towards fighting covid19 includes covid treatment suspected confi
148,167,167,07 07 2020 19 15,hyderabad india,rt stringent social distancing hygiene unique best practices ishayogacenter remained covid 19 free thr
153,172,172,07 07 2020 19 11,hyderabad india,rt andhrapradesh takes one proactive step towards fighting covid19 includes covid treatment suspected confi
169,188,188,07 07 2020 18 58,hyderabad india,rt 30yr old prudhvi raj collapses amp dies front xenia multi speciality hospital ecil hospital allegedly shoo
172,191,191,07 07 2020 18 53,hyderabad india,rt sir one person named shams hails maharashtra amp lives old bo
174,193,193,07 07 2020 18 50,hyderabad india,technology help flatten covid 19 curve believe read mark jules shares hitachi solutions created
182,203,203,07 07 2020 18 42,hyderabad india,rt 30yr old prudhvi raj collapses amp dies front xenia multi speciality hospital ecil hospital allegedly shoo
193,214,214,07 07 2020 18 33,hyderabad india,rt trs leader got positive hospital admitted theyadmitted corporate hospital
199,220,220,07 07 2020 18 29,hyderabad india,rt 500 bedded covid care centre opens cwg village delhi click latest updates
201,222,222,07 07 2020 18 27,gachibowli hyderabad india,rt 30yr old prudhvi raj collapses amp dies front xenia multi speciality hospital ecil hospital allegedly shoo
204,225,225,07 07 2020 18 26,hyderabad india,rt gandhihospital protest know many us covid positive none us tested
207,228,228,07 07 2020 18 23,hyderabad india,rt 30yr old prudhvi raj collapses amp dies front xenia multi speciality hospital ecil hospital allegedly shoo
209,230,230,07 07 2020 18 21,hyderabad india,rt karthik sri warned covid month february 56inchtummy busy eating litti choka neglected
213,235,235,07 07 2020 18 19,hyderabad india,rt 2006 shanawaz resident mumbai sold suv help covid19pandemic patients covid covid19vic
215,237,237,07 07 2020 18 19,hyderabad india,rt 30yr old prudhvi raj collapses amp dies front xenia multi speciality hospital ecil hospital allegedly shoo
218,240,240,07 07 2020 18 15,hyderabad india,rt due ongoing covid situation extreme scarcity blood especially kids suffering cancer
222,244,244,07 07 2020 18 14,hyderabad india,rt 30yr old prudhvi raj collapses amp dies front xenia multi speciality hospital ecil hospital allegedly shoo
225,247,247,07 07 2020 18 14,hyderabad india,rt availability beds covid patients gandhi 1150 vacant total bed vacant govt hospitals 1 isolation
229,251,251,07 07 2020 18 12,hyderabad india,rt andhrapradesh takes one proactive step towards fighting covid19 includes covid treatment suspected confi
243,267,267,07 07 2020 18 05,hyderabad india,rt join us upcoming webinar incorporating technology return office schedule learn workplace
275,300,300,07 07 2020 17 47,hyderabad india,rt 30yr old prudhvi raj collapses amp dies front xenia multi speciality hospital ecil hospital allegedly shoo
278,303,303,07 07 2020 17 46,hyderabad india,rt discussed covid situation telangana chief secretary shri somesh kumar amp principal secretary health
282,308,307,07 07 2020 17 45,hyderabad india,rt 30yr old prudhvi raj collapses amp dies front xenia multi speciality hospital ecil hospital allegedly shoo
287,314,314,07 07 2020 17 42,hyderabad india,rt 30yr old prudhvi raj collapses amp dies front xenia multi speciality hospital ecil hospital allegedly shoo
