,Unnamed: 0,Unnamed: 0.1,date,location,text
0,0,0,07 07 2020 23 54,bengaluru india,rt stand tall fight covid19 today 5 us laid life line duty 395 us tested po
1,1,1,07 07 2020 23 54,bengaluru india,rt 30 33 53 76 83 ages last 5 patients died icu shifts last 2 weeks due
5,6,6,07 07 2020 23 41,bengaluru india,rt majority asymptomatic people opt homeisolation let support help people counseling
10,13,13,07 07 2020 23 24,bengaluru india,rt stand tall fight covid19 today 5 us laid life line duty 395 us tested po
13,18,18,07 07 2020 23 00,bengaluru south india,rt stand tall fight covid19 today 5 us laid life line duty 395 us tested po
15,22,22,07 07 2020 22 44,bengaluru india,rt stand tall fight covid19 today 5 us laid life line duty 395 us tested po
24,34,34,07 07 2020 21 51,bengaluru india,rt stand tall fight covid19 today 5 us laid life line duty 395 us tested po
25,35,35,07 07 2020 21 49,bengaluru india,rt stand tall fight covid19 today 5 us laid life line duty 395 us tested po
31,41,41,07 07 2020 21 26,bengaluru india,rt stand tall fight covid19 today 5 us laid life line duty 395 us tested po
40,51,51,07 07 2020 21 00,bengaluru india,rt stand tall fight covid19 today 5 us laid life line duty 395 us tested po
41,53,53,07 07 2020 20 56,bengaluru india,rt stand tall fight covid19 today 5 us laid life line duty 395 us tested po
49,62,62,07 07 2020 20 40,bengaluru india,rt stand tall fight covid19 today 5 us laid life line duty 395 us tested po
61,75,75,07 07 2020 20 23,bengaluru india,rt stand tall fight covid19 today 5 us laid life line duty 395 us tested po
62,76,76,07 07 2020 20 22,bengaluru south india,rt happy announce shifa hospital constituency converted 100 bed covid facility thank
63,77,77,07 07 2020 20 21,bengaluru india,access great content grades 1 8 sitting homes lockdown covid pandemic access
70,84,84,07 07 2020 20 15,bengaluru india,rt 30 33 53 76 83 ages last 5 patients died icu shifts last 2 weeks due
73,87,87,07 07 2020 20 12,bengaluru india,rt stand tall fight covid19 today 5 us laid life line duty 395 us tested po
74,88,88,07 07 2020 20 10,bengaluru india,rt look frontline covid warriors asha workers r taking risks reach families affected virus asha workers
79,94,94,07 07 2020 20 07,bengaluru south india,rt stand tall fight covid19 today 5 us laid life line duty 395 us tested po
80,95,95,07 07 2020 20 07,bengaluru south india,rt stand tall fight covid19 today 5 us laid life line duty 395 us tested po
81,96,96,07 07 2020 20 07,bengaluru india,rt stand tall fight covid19 today 5 us laid life line duty 395 us tested po
85,100,100,07 07 2020 19 59,bengaluru india,rt stand tall fight covid19 today 5 us laid life line duty 395 us tested po
99,117,117,07 07 2020 19 46,bengaluru india,rt stand tall fight covid19 today 5 us laid life line duty 395 us tested po
100,118,118,07 07 2020 19 45,bengaluru south india,rt stand tall fight covid19 today 5 us laid life line duty 395 us tested po
102,120,120,07 07 2020 19 44,bengaluru india,rt stand tall fight covid19 today 5 us laid life line duty 395 us tested po
107,125,125,07 07 2020 19 41,bengaluru india,rt stand tall fight covid19 today 5 us laid life line duty 395 us tested po
110,128,128,07 07 2020 19 40,bengaluru india,rt stand tall fight covid19 today 5 us laid life line duty 395 us tested po
111,129,129,07 07 2020 19 39,bengaluru india,rt stand tall fight covid19 today 5 us laid life line duty 395 us tested po
113,131,131,07 07 2020 19 39,bengaluru india,rt stand tall fight covid19 today 5 us laid life line duty 395 us tested po
115,133,133,07 07 2020 19 38,bengaluru india,rt stand tall fight covid19 today 5 us laid life line duty 395 us tested po
118,136,136,07 07 2020 19 37,bengaluru south india,rt stand tall fight covid19 today 5 us laid life line duty 395 us tested po
144,163,163,07 07 2020 19 20,bengaluru india,rt stand tall fight covid19 today 5 us laid life line duty 395 us tested po
145,164,164,07 07 2020 19 20,india sullia bengaluru delhi,rt stand tall fight covid19 today 5 us laid life line duty 395 us tested po
150,169,169,07 07 2020 19 14,bengaluru india,rt stand tall fight covid19 today 5 us laid life line duty 395 us tested po
165,184,184,07 07 2020 19 02,bengaluru india,covidscamkarnataka covid covid19karnataka covid19 karnataka clue number covid cases opp
180,200,200,07 07 2020 18 43,bengaluru india,rt discharge alert 3 9 7 patients discharged amid rising number covid cases heartening w
181,201,201,07 07 2020 18 43,bengaluru india,rt despite lockdown challenges tremendous support pwd department infrastructure expansion like layin
185,206,206,07 07 2020 18 38,bengaluru india,rt andhrapradesh takes one proactive step towards fighting covid19 includes covid treatment suspected confi
206,227,227,07 07 2020 18 23,ongole bengaluru india,rt 30yr old prudhvi raj collapses amp dies front xenia multi speciality hospital ecil hospital allegedly shoo
228,250,250,07 07 2020 18 12,bengaluru india,rt stringent social distancing hygiene unique best practices ishayogacenter remained covid 19 free thr
247,271,271,07 07 2020 18 01,bengaluru south india,rt stringent social distancing hygiene unique best practices ishayogacenter remained covid 19 free thr
249,273,273,07 07 2020 18 00,bengaluru india,rt please follow covid flow chart carefully steps help doctors amp bbmp take quick action treat
265,290,290,07 07 2020 17 50,bengaluru india,rt fret covid 19 know tb 2 people die india tb every 5 minutes
273,298,298,07 07 2020 17 47,bengaluru india,must read test positive covid bengaluru bbmp bangalore
277,302,302,07 07 2020 17 46,west bengal india,rt punishments allah muhammad qasim ibn abdul karim dream 3 muhaad qasims
279,304,304,07 07 2020 17 46,ongole bengaluru india,rt come telangana govt money demolish existing secretariat amp build new one claims lost money du
289,317,317,07 07 2020 17 41,bengaluru south india,rt happy announce shifa hospital constituency converted 100 bed covid facility thank
290,318,318,07 07 2020 17 41,bengaluru india,rt optimism bitter truth india covidresponse needs get better banking botche
291,319,319,07 07 2020 17 41,bengaluru india,rt must appreciate efforts showcase solidarity demonstrate resolve fight covid
297,325,325,07 07 2020 17 40,bengaluru india,rt either whole world foolish smarter rest believe global pandemic like covid ha
298,326,326,07 07 2020 17 39,bengaluru india,rt april 23 niti aayog goi officials used graph claim slowing covid19 spread due lockdow
299,327,327,07 07 2020 17 39,bengaluru india,rt amidst talk around lockdown relaxation efforts build new feel good narrative india covid situati
300,328,328,07 07 2020 17 39,bengaluru india,rt daily farcical government covid briefings increasingly becoming insult wisdom people
301,329,329,07 07 2020 17 39,bengaluru india,rt make mistake covid crisis real governments bluff amp bluster thoroughly exposed unfortu
302,330,330,07 07 2020 17 39,bengaluru india,rt covid wished away must fight keep getting worse globally leaders fight h
311,339,339,07 07 2020 17 35,bengaluru india,rt happy announce shifa hospital constituency converted 100 bed covid facility thank
312,340,340,07 07 2020 17 35,bengaluru india,rt discharge alert 3 9 7 patients discharged amid rising number covid cases heartening w
324,352,352,07 07 2020 17 28,bengaluru india,rt stringent social distancing hygiene unique best practices ishayogacenter remained covid 19 free thr
329,357,357,07 07 2020 17 26,bengaluru india,covid teachers school staff school reopens maintain healthy environment clean amp disinfect fre
369,399,399,07 07 2020 17 14,bengaluru india,trinitycarefoundation community outreach health programs rural karnataka
372,402,402,07 07 2020 17 11,bengaluru india,cell real thing till thinking fantasy resident evil movie prophec
375,405,405,07 07 2020 17 11,bengaluru india,thank writing latest preferendum education state youth impact
382,413,413,07 07 2020 17 09,bengaluru india,rt get insights experts post covid manufacturing enterprise evolve ernd industry needs adapt
391,423,423,07 07 2020 17 05,bengaluru india,rt growth new covid cases slowing delhi
415,447,447,07 07 2020 16 57,bengaluru india,rt 30yr old prudhvi raj collapses amp dies front xenia multi speciality hospital ecil hospital allegedly shoo
416,448,448,07 07 2020 16 57,bengaluru india,rt integrity covid 19 data released karnataka government begun raise suspicion official
439,472,472,07 07 2020 16 47,bengaluru india,rt single city 80 000 kg covid waste generated month pandemic many facets one
517,552,552,07 07 2020 16 25,bengaluru india,rt happy announce shifa hospital constituency converted 100 bed covid facility thank
528,564,564,07 07 2020 16 22,bengaluru bangalore india,rt bengaluru covid rise wednesday 1148 tuesday 800 monday 981 sunday 1235 saturday 1172
530,566,566,07 07 2020 16 22,bengaluru bangalore india,rt karnataka covid update record 2062 positive cases today 1148 cases bengaluru 54 deaths today total 4
573,610,610,07 07 2020 16 12,bengaluru india,rt karnataka covid update record 2062 positive cases today 1148 cases bengaluru 54 deaths today total 4
625,663,663,07 07 2020 16 05,bengaluru india,rt launched open innovation challenge build sustainable solutions specific esg issues across industries come jo
626,664,664,07 07 2020 16 05,west bengal india,rt looking non contact professional thermometer right product click link
665,705,705,07 07 2020 15 57,bengaluru south india,rt come telangana govt money demolish existing secretariat amp build new one claims lost money du
673,713,713,07 07 2020 15 54,bengaluru india,rt 30 33 53 76 83 ages last 5 patients died icu shifts last 2 weeks due
679,719,719,07 07 2020 15 52,bengaluru india,rt karnataka covid update record 2062 positive cases today 1148 cases bengaluru 54 deaths today total 4
706,747,747,07 07 2020 15 42,bengaluru india,rt andhrapradesh takes one proactive step towards fighting covid19 includes covid treatment suspected confi
715,758,758,07 07 2020 15 38,bengaluru india,looks like rafael nadal novak djokovic highly unlikely play usopen afford thanks
721,764,764,07 07 2020 15 35,bengaluru india,rt happy announce shifa hospital constituency converted 100 bed covid facility thank
731,774,774,07 07 2020 15 31,bengaluru india,rt kerala commando unit route march poonthura thiruvananthapuram covid cases local transmission
740,783,783,07 07 2020 15 29,bengaluru india,rt stringent social distancing hygiene unique best practices ishayogacenter remained covid 19 free thr
744,787,787,07 07 2020 15 27,bengaluru india,rt india join vidhi discussion briefing book 2020 amp 25 legal reforms post covid india july 10 5 30 pm part
755,798,798,07 07 2020 15 22,bengaluru india,rt stringent social distancing hygiene unique best practices ishayogacenter remained covid 19 free thr
759,802,802,07 07 2020 15 20,bengaluru south india,rt tnie karnataka today reported 2062 covid 19 cases 54 deaths 1148 new cases bengaluru total positive cases karnat
768,812,812,07 07 2020 15 16,bengaluru south india,rt order prevent spread covid 19 corporation workers seen carrying door door fever check
769,813,813,07 07 2020 15 16,bengaluru india,covid 19 discriminate looms imminent danger caste discrimination amidst healthcrisis
801,845,845,07 07 2020 15 04,bengalore india,launching loop open innovation challenge build sustainable solutions specific esg issues across
804,848,848,07 07 2020 15 02,bengaluru india,rt tnie karnataka today reported 2062 covid 19 cases 54 deaths 1148 new cases bengaluru total positive cases karnat
819,867,867,07 07 2020 14 57,bengaluru india,rt karnataka covid update record 2062 positive cases today 1148 cases bengaluru 54 deaths today total 4
822,870,870,07 07 2020 14 56,bengaluru india,rt sparkvj 2062 new cases found karnataka 1148 cases bangalore 54 deaths due covid covid19karnataka coronaupd
832,880,880,07 07 2020 14 52,bengaluru india,2062 new cases found karnataka 1148 cases bangalore 54 deaths due covid covid19karnataka
836,884,884,07 07 2020 14 50,bengaluru india,rt pm deliver inaugural address indiaglobalweek 2020 1 30 pm tomorrow forum brings together
841,889,889,07 07 2020 14 49,bengaluru india,rt majority asymptomatic people opt homeisolation let support help people counseling
842,891,891,07 07 2020 14 49,bengaluru india,rt freak 2062 new cases found karnataka 1148 cases bangalore 54 deaths due covid covid19karnataka corona
843,892,892,07 07 2020 14 48,bengaluru india,pricecap private hospitals fixed govt paper zero implementation ground
844,893,893,07 07 2020 14 48,bengaluru india,rt happy announce shifa hospital constituency converted 100 bed covid facility thank
846,895,895,07 07 2020 14 48,bengaluru india,rt bengaluru covid rise wednesday 1148 tuesday 800 monday 981 sunday 1235 saturday 1172
848,897,897,07 07 2020 14 47,bengaluru india,rt tnie karnataka today reported 2062 covid 19 cases 54 deaths 1148 new cases bengaluru total positive cases karnat
853,902,902,07 07 2020 14 46,bengaluru india,pricecap private hospitals fixed govt paper zero implementation ground le
854,903,903,07 07 2020 14 46,bengaluru india,2062 new cases found karnataka 1148 cases bangalore 54 deaths due covid covid19karnataka
857,906,906,07 07 2020 14 45,bengaluru india,pricecap private hospitals fixed govt paper zero implementation ground leve
