,Unnamed: 0,Unnamed: 0.1,date,location,text
19,26,26,07 07 2020 22 22,mumbai india,rt 30 33 53 76 83 ages last 5 patients died icu shifts last 2 weeks due
20,27,27,07 07 2020 22 22,navi mumbai india,rt innovative minds indian railways showcase creative skills combat covid ideal device ensure socialdis
82,97,97,07 07 2020 20 02,mumbai bangalore raipur india,rt stand tall fight covid19 today 5 us laid life line duty 395 us tested po
109,127,127,07 07 2020 19 40,mumbai india,rt md er doctor sending kids school arizona fucking pandemic okay risking life trea
121,139,139,07 07 2020 19 35,mumbai india,rt 30 33 53 76 83 ages last 5 patients died icu shifts last 2 weeks due
135,154,154,07 07 2020 19 27,mumbai india,rt praja hosting webinar leveraging technology education covid 19 pandemic 16th july 2020
146,165,165,07 07 2020 19 19,mumbai india,rt naik makkah masjid mumbai turned oxygen center city struggles keep covid surge control
151,170,170,07 07 2020 19 12,mumbai india,rt worrying news akhilgogoi prison since 200 days shown covid symptoms given proper health c
158,177,177,07 07 2020 19 07,mumbai india,rt nikhil given covid induced volatility thoughts effectively diversify portfolio portfolio
161,180,180,07 07 2020 19 05,mumbai india,covid tests less less people wont panic government think like overcome
179,199,199,07 07 2020 18 45,mumbai india,rt nacpositivenews amid covid 19 crisis 456 830 people previously tested positive fought amp recovered pandemic
217,239,239,07 07 2020 18 15,mumbai india,rt long dry spell primary markets getting 1st ipo post covid lockdown coming one hott
219,241,241,07 07 2020 18 15,mumbai india,rt 30 33 53 76 83 ages last 5 patients died icu shifts last 2 weeks due
239,263,263,07 07 2020 18 07,mumbai india,rt tell us foodforthought comments workfromhome covid 2020 mymoneymantra
241,265,265,07 07 2020 18 06,mumbai india,rt innovative minds indian railways showcase creative skills combat covid ideal device ensure socialdis
252,277,277,07 07 2020 17 58,nashik mumbai india,rt fadnavis nashik interacting media visits covid hospitals coronainmaharashtra
262,287,287,07 07 2020 17 52,mumbai india,operation samudrasetu launched repatriate indians overseas covid 19 pandemic culminates suc
342,371,371,07 07 2020 17 19,mumbai india,covid 19 india daily tracker july 8 2020 1400hrs ist cases recorded 739 362 deaths recorded 20 656
343,372,372,07 07 2020 17 19,mumbai india,rt asymptomatic carriers carry hatred jealousy amp anger within us also carry love compassion kindne
346,375,375,07 07 2020 17 18,mumbai india,rt covid mulund tward board update 07 07 2020 indiafightscorona stayhome staysafe
376,406,406,07 07 2020 17 11,mumbai india,rt fadnavis nashik interacting media visits covid hospitals coronainmaharashtra
379,409,409,07 07 2020 17 10,mumbai india,rt com brazil media community sue bolsonaro stood close reporters amp removed mask announcing covid posit
432,464,464,07 07 2020 16 50,mumbai india,rt meet jaipur born indian uk resident volunteered part much talked oxford vaccine trial
459,492,492,07 07 2020 16 40,mumbai india,rt one three arrested accused provided shelter vikasdubey faridabad turns covid positive
469,503,503,07 07 2020 16 38,mumbai india,rt covid hearing press briefing tom 4 almost month talk abt 15 aug deadl
486,520,520,07 07 2020 16 33,mumbai india,rt worrying news akhilgogoi prison since 200 days shown covid symptoms given proper health c
494,528,528,07 07 2020 16 30,mumbai delhi india,rt p cant adequate stock maintained covid hospitals daily b
559,596,596,07 07 2020 16 14,mumbai india,spicejet offers covid 19 insurance cover passengers starting rs 443
572,609,609,07 07 2020 16 12,mumbai india,uttarakhand reopens tourism read tourism uttarakhand covid tourists
632,671,671,07 07 2020 16 04,mumbai india,rt leadership responses covid 19 crisis good bad ugly htt
649,689,689,07 07 2020 16 01,mumbai india,rt biotechs involved research covid 19 seen stock performance grow 233 average check fu
684,724,724,07 07 2020 15 50,mumbai india,rt aahil saif 5 twin sister amp mother urging reunite family
691,731,731,07 07 2020 15 48,mumbai india,rt 30 33 53 76 83 ages last 5 patients died icu shifts last 2 weeks due
700,741,741,07 07 2020 15 43,mumbai india,rt innovative minds indian railways showcase creative skills combat covid ideal device ensure socialdis
712,753,753,07 07 2020 15 40,navi mumbai india,feel wearing mask days causes heat face remember people wear 3 football shi
718,761,761,07 07 2020 15 37,mumbai india,rt covid hearing press briefing tom 4 almost month talk abt 15 aug deadl
757,800,800,07 07 2020 15 21,mumbai india,whereis working president hon bl minister twitterktr aggressively respo
760,803,803,07 07 2020 15 20,mulund mumbai india,rt 500 crores allocated new secretariat building middle eastern architecture looks like many tombs
775,819,819,07 07 2020 15 11,mumbai india,rt covid hearing press briefing tom 4 almost month talk abt 15 aug deadl
856,905,905,07 07 2020 14 45,mumbai india,total active cases maharashtra 91065 total cases maharashtra crosses 90k mark total discharge maharasht
872,922,922,07 07 2020 14 38,india mumbai,rt gtbeeps madurai restaurant chain developed something called mask parotta create awareness covi
892,943,943,07 07 2020 14 33,mumbai india,rt stringent social distancing hygiene unique best practices ishayogacenter remained covid 19 free thr
911,963,963,07 07 2020 14 27,mumbai india,rt innovative minds indian railways showcase creative skills combat covid ideal device ensure socialdis
956,1008,1007,07 07 2020 14 11,mumbai india,rt fadnavis nashik interacting media visits covid hospitals coronainmaharashtra
973,1025,1025,07 07 2020 14 05,mumbai india,excellent move bring peace mind amp relief many worried getting prescr
981,1033,1033,07 07 2020 14 02,mumbai india,day 1 covid season 1st testcricket match eng vs wi engvswi wiveng
998,1050,1050,07 07 2020 13 57,mumbai india,rt makkah masjid mumbai turned oxygen center city struggles keep covid surge control http
1013,1065,1065,07 07 2020 13 50,mumbai india,rt fadnavis nashik interacting media visits covid hospitals coronainmaharashtra
1016,1068,1068,07 07 2020 13 49,mumbai india,rt afwa mukkam area committee donated smartphones needy people online classes going covid 19 pan
1068,1120,1120,07 07 2020 13 35,akola india mumbai,rt fadnavis visited panvel covid hospital reviewed situation hospital officials panvel infection rate positivity rate
1076,1128,1128,07 07 2020 13 33,mumbai india,rt 30 33 53 76 83 ages last 5 patients died icu shifts last 2 weeks due
1121,1173,1173,07 07 2020 13 22,mumbai india,rt programs like pgky pmgkay amp mgnregs aatmanirbharbharat taking care needs poor migrants amp vulne
1148,1200,1200,07 07 2020 13 11,mumbai india,covid 19 airborne coronavirus covid19 covid coronavirusindia airborne india reporticnews
1177,1229,1229,07 07 2020 13 00,mumbai india,rt fadnavis nashik interacting media visits covid hospitals coronainmaharashtra
1180,1232,1232,07 07 2020 13 00,mumbai india,rt hindu sardard isai since covid stopped going toilet dinner dude manage c
1239,1291,1291,07 07 2020 12 43,mumbai india,rt 30 33 53 76 83 ages last 5 patients died icu shifts last 2 weeks due
1242,1294,1294,07 07 2020 12 42,mumbai india,rt innovative minds indian railways showcase creative skills combat covid ideal device ensure socialdis
1286,1338,1338,07 07 2020 12 31,mumbai india,rt 30 33 53 76 83 ages last 5 patients died icu shifts last 2 weeks due
1335,1387,1387,07 07 2020 12 21,mumbai india,rt india might see 2 87 lakh covid cases per day february 2021 study reveals
1367,1419,1419,07 07 2020 12 12,mumbai india,rt visited covid care centre patanjali yogpeeth mirza palashbari today review treatment facilities amp infra
1373,1425,1425,07 07 2020 12 12,navi mumbai india,rt innovative minds indian railways showcase creative skills combat covid ideal device ensure socialdis
1378,1430,1430,07 07 2020 12 10,mumbai india,modi lockdown one strongest shutdowns world yet covid cases crossed 7 lakh mark gov
1432,1484,1484,07 07 2020 11 57,mumbai new delhi patna india,patna total lockdown week july 10 due surge covid cases
1465,1517,1517,07 07 2020 11 45,mumbai india,suasthhospital opens 100 bed covid care facility health healthcare healthnews indiaincfightscovid19
1479,1531,1531,07 07 2020 11 43,mumbai india,cbse like class 11 2020 turned nazi covid stop politicising education
1563,1615,1615,07 07 2020 11 13,mumbai india,rt fadnavis nashik interacting media visits covid hospitals coronainmaharashtra
1603,1655,1655,07 07 2020 11 00,mumbai india,rt innovative minds indian railways showcase creative skills combat covid ideal device ensure socialdis
1638,1690,1690,07 07 2020 10 49,mumbai india,rt md shamim 3rd generation grave digger cut cake celebrate 39th birthday ito kabristan shamim buried 429 co
1660,1712,1712,07 07 2020 10 38,mumbai maharashtra india,rt fadnavis nashik interacting media visits covid hospitals coronainmaharashtra
1661,1713,1713,07 07 2020 10 38,mumbai india,webinar mentalhealth firstaid covid related psychosocialdistress amp building skills respond fron
1698,1750,1750,07 07 2020 10 27,mumbai india,rt innovative minds indian railways showcase creative skills combat covid ideal device ensure socialdis
1718,1770,1770,07 07 2020 10 21,mumbai india,rt 30 33 53 76 83 ages last 5 patients died icu shifts last 2 weeks due
1733,1785,1785,07 07 2020 10 17,mumbai india,rt 30 33 53 76 83 ages last 5 patients died icu shifts last 2 weeks due
1838,1890,1890,07 07 2020 09 58,mumbai india,rt praja hosting webinar leveraging technology education covid 19 pandemic 16th july 2020
1842,1894,1894,07 07 2020 09 57,mumbai india,rt someone say smokers vulnerable get covid definitely got check sciencesurprises yet ag
1854,1906,1906,07 07 2020 09 54,navi mumbai india,saudia carried 75 000t vital cargo 1500 flights amid covid 19 airlines medicine aviation avgeek
1917,1969,1969,07 07 2020 09 33,mumbai india,cricket lover wait howz engvswi icc ecb westindies cricketisback cricket covid fightcovid19
1938,1990,1990,07 07 2020 09 24,mumbai india,rt india mmr covid update new cases stable mumbai early signs stabilizing thane cases still growing
1944,1996,1996,07 07 2020 09 23,mumbai india,rt 30 33 53 76 83 ages last 5 patients died icu shifts last 2 weeks due
1963,2015,2015,07 07 2020 09 16,mumbai india,rt innovative minds indian railways showcase creative skills combat covid ideal device ensure socialdis
1971,2023,2023,07 07 2020 09 14,mumbai india,rt innovative minds indian railways showcase creative skills combat covid ideal device ensure socialdis
2022,2074,2074,07 07 2020 09 00,mumbai jabalpur india,rt india might see 2 87 lakh covid cases per day february 2021 study reveals
2026,2078,2078,07 07 2020 07 59,mumbai india,rt 30 33 53 76 83 ages last 5 patients died icu shifts last 2 weeks due
2035,2087,2077,07 07 2020 07 56,mumbai india,rt strengthen central govt efforts reduce covid mortality aiims delhi starts tele consultation guidance state
2046,2098,2098,07 07 2020 07 53,mumbai india,rt fadnavis nashik interacting media visits covid hospitals coronainmaharashtra
2061,2113,2113,07 07 2020 07 49,mumbai india,rt innovative minds indian railways showcase creative skills combat covid ideal device ensure socialdis
2066,2118,2118,07 07 2020 07 48,mumbai india,rt fadnavis nashik interacting media visits covid hospitals coronainmaharashtra
2073,2125,2125,07 07 2020 07 45,mumbai india,rt fadnavis nashik interacting media visits covid hospitals coronainmaharashtra
2076,2128,2128,07 07 2020 07 44,mumbai india,rt future safety movement much dependent upon invention safety devices improvement
2106,2158,2158,07 07 2020 07 34,mumbai india,rt maharashtra start testing covid without prescription today private labs say yet recei
2117,2169,2169,07 07 2020 07 31,mumbai india,rt fadnavis nashik interacting media visits covid hospitals coronainmaharashtra
2124,2176,2176,07 07 2020 07 29,mumbai india,rt fadnavis nashik interacting media visits covid hospitals coronainmaharashtra
