,Unnamed: 0,Unnamed: 0.1,date,location,text
0,0,0,07 07 2020 23 54,bengaluru india,rt stand tall fight covid19 today 5 us laid life line duty 395 us tested po
1,1,1,07 07 2020 23 54,bengaluru india,rt 30 33 53 76 83 ages last 5 patients died icu shifts last 2 weeks due
2,3,3,07 07 2020 23 48,india,slow paced says covid could airborne funny good decided leave pm
3,4,4,07 07 2020 23 47,india,rt stand tall fight covid19 today 5 us laid life line duty 395 us tested po
4,5,5,07 07 2020 23 47,chennai india,rt despite lockdown challenges tremendous support pwd department infrastructure expansion like layin
5,6,6,07 07 2020 23 41,bengaluru india,rt majority asymptomatic people opt homeisolation let support help people counseling
6,7,7,07 07 2020 23 41,kaziranga national park india,rt discharge alert 3 9 7 patients discharged amid rising number covid cases heartening w
7,8,8,07 07 2020 23 36,india,despite early stringent lockdown india seen constant rise covid 19 cases economic cost
8,9,9,07 07 2020 23 35,india,rt stand tall fight covid19 today 5 us laid life line duty 395 us tested po
9,12,12,07 07 2020 23 24,hyderabad india,rt stringent social distancing hygiene unique best practices ishayogacenter remained covid 19 free thr
10,13,13,07 07 2020 23 24,bengaluru india,rt stand tall fight covid19 today 5 us laid life line duty 395 us tested po
11,14,14,07 07 2020 23 20,india,rt clock ticks friday deadline renew authorization crucial humanitarian corridors supplying aid syria
12,16,16,07 07 2020 23 01,india,rt fadnavis nashik interacting media visits covid hospitals coronainmaharashtra
13,18,18,07 07 2020 23 00,bengaluru south india,rt stand tall fight covid19 today 5 us laid life line duty 395 us tested po
14,20,20,07 07 2020 22 56,trivandrum india,implications new jobretentionbonus announced uk govt relies solely intensity covid spre
15,22,22,07 07 2020 22 44,bengaluru india,rt stand tall fight covid19 today 5 us laid life line duty 395 us tested po
16,23,23,07 07 2020 22 40,kolkata india,day 7 ask help mentalhealth mentalhealthawareness anxiety selfcare depression selflove love
17,24,24,07 07 2020 22 31,india,rt sad rtc conductor singer lyricist nissar succumbed covid19 song covid19 woes sung telangana
18,25,25,07 07 2020 22 28,india,rt 30yr old prudhvi raj collapses amp dies front xenia multi speciality hospital ecil hospital allegedly shoo
19,26,26,07 07 2020 22 22,mumbai india,rt 30 33 53 76 83 ages last 5 patients died icu shifts last 2 weeks due
20,27,27,07 07 2020 22 22,navi mumbai india,rt innovative minds indian railways showcase creative skills combat covid ideal device ensure socialdis
21,28,28,07 07 2020 22 15,hyderabad india,telangana witnesses huge jump covid 19 cases deaths
22,31,31,07 07 2020 22 06,andaman nicobar islands india,admin serially fails provide correct info covid times triggers sharp reactions island
23,32,32,07 07 2020 21 57,india,rt scientists warn potential wave covid linked braindamage covid19 coronavirus covid19 article amp reut
24,34,34,07 07 2020 21 51,bengaluru india,rt stand tall fight covid19 today 5 us laid life line duty 395 us tested po
25,35,35,07 07 2020 21 49,bengaluru india,rt stand tall fight covid19 today 5 us laid life line duty 395 us tested po
26,36,36,07 07 2020 21 47,coimbatore india,rt covid patients screened rajinikanth darbar beat blues
27,37,37,07 07 2020 21 42,maharashtra india,rt fadnavis nashik interacting media visits covid hospitals coronainmaharashtra
28,38,38,07 07 2020 21 39,india,rt looking analysis tdp twitter think someone hyderabad office might invent vaccine
29,39,39,07 07 2020 21 38,india,rt 30 33 53 76 83 ages last 5 patients died icu shifts last 2 weeks due
30,40,40,07 07 2020 21 37,new delhi india,us centers disease control rates eating restaurant medium high risk activity possibly
31,41,41,07 07 2020 21 26,bengaluru india,rt stand tall fight covid19 today 5 us laid life line duty 395 us tested po
32,43,43,07 07 2020 21 20,gulbarga india,rt happy announce shifa hospital constituency converted 100 bed covid facility thank
33,44,44,07 07 2020 21 17,india,rt stand tall fight covid19 today 5 us laid life line duty 395 us tested po
34,45,45,07 07 2020 21 14,india,rt jim fintech executive says covid 19 shot arm contactless payments needed unsafe use paper
35,46,46,07 07 2020 21 12,hyderabad india,rt mondaymotivation helping kids early healthy relationship onlinesafety amp internet esp much
36,47,47,07 07 2020 21 10,uttrakhand india,rt fi signatories fi principles responsiblebanking share responses covid 19 support customers
37,48,48,07 07 2020 21 09,india,rt fadnavis nashik interacting media visits covid hospitals coronainmaharashtra
38,49,49,07 07 2020 21 02,hyderabad telangana india,rt 30yr old prudhvi raj collapses amp dies front xenia multi speciality hospital ecil hospital allegedly shoo
39,50,50,07 07 2020 21 02,india,rt 30 33 53 76 83 ages last 5 patients died icu shifts last 2 weeks due
40,51,51,07 07 2020 21 00,bengaluru india,rt stand tall fight covid19 today 5 us laid life line duty 395 us tested po
41,53,53,07 07 2020 20 56,bengaluru india,rt stand tall fight covid19 today 5 us laid life line duty 395 us tested po
42,55,55,07 07 2020 20 52,hyderabad india,rt pandemic scammers robbed us consumers 77m covid coronavirus virus infosec secu
43,56,56,07 07 2020 20 48,united states india,rt 30 33 53 76 83 ages last 5 patients died icu shifts last 2 weeks due
44,57,57,07 07 2020 20 46,hyderabad india,rt 30yr old prudhvi raj collapses amp dies front xenia multi speciality hospital ecil hospital allegedly shoo
45,58,58,07 07 2020 20 43,delhi india,rt covid hearing press briefing tom 4 almost month talk abt 15 aug deadl
46,59,59,07 07 2020 20 43,galwan valley india,rt rob covid 19 catalyse uhc reforms indian states
47,60,60,07 07 2020 20 42,bangalore india,rt mp please issue advisory tv channels scare people rubbish broadcast
48,61,61,07 07 2020 20 40,new delhi india,rt innovative minds indian railways showcase creative skills combat covid ideal device ensure socialdis
49,62,62,07 07 2020 20 40,bengaluru india,rt stand tall fight covid19 today 5 us laid life line duty 395 us tested po
50,63,63,07 07 2020 20 39,india,rt 30 33 53 76 83 ages last 5 patients died icu shifts last 2 weeks due
51,64,64,07 07 2020 20 37,chennai india,rt 30 33 53 76 83 ages last 5 patients died icu shifts last 2 weeks due
52,65,65,07 07 2020 20 33,india,rt meet jaipur born indian uk resident volunteered part much talked oxford vaccine trial
53,66,66,07 07 2020 20 31,tamil nadu india,rt wearing mask washing hands social distancing best way prevent covid let help curtail
54,67,67,07 07 2020 20 31,india,rt 30 33 53 76 83 ages last 5 patients died icu shifts last 2 weeks due
55,69,69,07 07 2020 20 27,india,rt 30yr old prudhvi raj collapses amp dies front xenia multi speciality hospital ecil hospital allegedly shoo
56,70,70,07 07 2020 20 26,india,rt stand tall fight covid19 today 5 us laid life line duty 395 us tested po
57,71,71,07 07 2020 20 26,ahmedabad india,rt md er doctor sending kids school arizona fucking pandemic okay risking life trea
58,72,72,07 07 2020 20 26,guwahati india,rt discharge alert 3 9 7 patients discharged amid rising number covid cases heartening w
59,73,73,07 07 2020 20 25,hyderabad india,rt andhrapradesh takes one proactive step towards fighting covid19 includes covid treatment suspected confi
60,74,74,07 07 2020 20 24,india,rt stand tall fight covid19 today 5 us laid life line duty 395 us tested po
61,75,75,07 07 2020 20 23,bengaluru india,rt stand tall fight covid19 today 5 us laid life line duty 395 us tested po
62,76,76,07 07 2020 20 22,bengaluru south india,rt happy announce shifa hospital constituency converted 100 bed covid facility thank
63,77,77,07 07 2020 20 21,bengaluru india,access great content grades 1 8 sitting homes lockdown covid pandemic access
64,78,78,07 07 2020 20 20,silchar india,rt look frontline covid warriors asha workers r taking risks reach families affected virus asha workers
65,79,79,07 07 2020 20 19,vijayawada india,rt covidupdates vizag recorded yet another day highest spike positive cases single day wednesday many
66,80,80,07 07 2020 20 18,pune india,rt positive coronavirus testrate today maharashtra province mumbai pune india 22 higher numbers gu
67,81,81,07 07 2020 20 18,hyderabad india,rt india might see 2 87 lakh covid cases per day february 2021 study reveals
68,82,82,07 07 2020 20 17,india,rt time develop ambitious research agenda impact covid 19 highereducation
69,83,83,07 07 2020 20 15,bangalore india,rt stand tall fight covid19 today 5 us laid life line duty 395 us tested po
70,84,84,07 07 2020 20 15,bengaluru india,rt 30 33 53 76 83 ages last 5 patients died icu shifts last 2 weeks due
71,85,85,07 07 2020 20 15,karnataka india,rt stand tall fight covid19 today 5 us laid life line duty 395 us tested po
72,86,86,07 07 2020 20 12,udupi india,rt stand tall fight covid19 today 5 us laid life line duty 395 us tested po
73,87,87,07 07 2020 20 12,bengaluru india,rt stand tall fight covid19 today 5 us laid life line duty 395 us tested po
74,88,88,07 07 2020 20 10,bengaluru india,rt look frontline covid warriors asha workers r taking risks reach families affected virus asha workers
75,89,89,07 07 2020 20 10,india,rt 30 33 53 76 83 ages last 5 patients died icu shifts last 2 weeks due
76,90,90,07 07 2020 20 10,guwahati india,covid 19 stats north east india source assam sikkim tripura manipur mizoram
77,91,91,07 07 2020 20 09,gopalganj india,rt director explains china us clearly attack fbi covid ipr
78,92,92,07 07 2020 20 09,india,rt 30yr old prudhvi raj collapses amp dies front xenia multi speciality hospital ecil hospital allegedly shoo
79,94,94,07 07 2020 20 07,bengaluru south india,rt stand tall fight covid19 today 5 us laid life line duty 395 us tested po
80,95,95,07 07 2020 20 07,bengaluru south india,rt stand tall fight covid19 today 5 us laid life line duty 395 us tested po
81,96,96,07 07 2020 20 07,bengaluru india,rt stand tall fight covid19 today 5 us laid life line duty 395 us tested po
82,97,97,07 07 2020 20 02,mumbai bangalore raipur india,rt stand tall fight covid19 today 5 us laid life line duty 395 us tested po
83,98,98,07 07 2020 20 01,mysore india,rt stand tall fight covid19 today 5 us laid life line duty 395 us tested po
84,99,99,07 07 2020 20 00,madurai south india,rt kudos team dhaksha mentored filmstar ajithkumar developing way sanitize large areas covid 19 vi
85,100,100,07 07 2020 19 59,bengaluru india,rt stand tall fight covid19 today 5 us laid life line duty 395 us tested po
86,102,102,07 07 2020 19 58,hubli india,rt stand tall fight covid19 today 5 us laid life line duty 395 us tested po
87,103,103,07 07 2020 19 58,india,rt bad news mahila congress national president tests covid positive getwellsoon
88,104,104,07 07 2020 19 58,chennai india,rt almost 80 90 people seen masks properly covering nose mouth heartening see uptrend mas
89,105,105,07 07 2020 19 57,india,rt stand tall fight covid19 today 5 us laid life line duty 395 us tested po
90,106,106,07 07 2020 19 57,vijayawada india,planning abroad part 02 covid 19 impact abroad study plan student education wave covid coronaeffect
91,108,107,07 07 2020 19 55,chennai india,rt meet jaipur born indian uk resident volunteered part much talked oxford vaccine trial
92,110,110,07 07 2020 19 50,karnataka india,rt stand tall fight covid19 today 5 us laid life line duty 395 us tested po
93,111,111,07 07 2020 19 50,hyderabad india,rt andhrapradesh takes one proactive step towards fighting covid19 includes covid treatment suspected confi
94,112,112,07 07 2020 19 48,india,rt stand tall fight covid19 today 5 us laid life line duty 395 us tested po
95,113,113,07 07 2020 19 47,proud south indian,rt stand tall fight covid19 today 5 us laid life line duty 395 us tested po
96,114,114,07 07 2020 19 47,ghaziabad india,rt randhawa
97,115,115,07 07 2020 19 46,india,rt despite lockdown challenges tremendous support pwd department infrastructure expansion like layin
98,116,116,07 07 2020 19 46,anantapur india,rt 30yr old prudhvi raj collapses amp dies front xenia multi speciality hospital ecil hospital allegedly shoo
99,117,117,07 07 2020 19 46,bengaluru india,rt stand tall fight covid19 today 5 us laid life line duty 395 us tested po
100,118,118,07 07 2020 19 45,bengaluru south india,rt stand tall fight covid19 today 5 us laid life line duty 395 us tested po
101,119,119,07 07 2020 19 44,india,rt stand tall fight covid19 today 5 us laid life line duty 395 us tested po
102,120,120,07 07 2020 19 44,bengaluru india,rt stand tall fight covid19 today 5 us laid life line duty 395 us tested po
103,121,121,07 07 2020 19 42,pune india,rt positive coronavirus testrate today maharashtra province mumbai pune india 22 higher numbers gu
104,122,122,07 07 2020 19 42,new delhi india,rt stand tall fight covid19 today 5 us laid life line duty 395 us tested po
