,Unnamed: 0,Unnamed: 0.1,date,location,text
4,5,5,07 07 2020 23 47,chennai india,rt despite lockdown challenges tremendous support pwd department infrastructure expansion like layin
51,64,64,07 07 2020 20 37,chennai india,rt 30 33 53 76 83 ages last 5 patients died icu shifts last 2 weeks due
88,104,104,07 07 2020 19 58,chennai india,rt almost 80 90 people seen masks properly covering nose mouth heartening see uptrend mas
91,108,107,07 07 2020 19 55,chennai india,rt meet jaipur born indian uk resident volunteered part much talked oxford vaccine trial
123,141,141,07 07 2020 19 34,chennai india,get health insurance family individual insurance healthinsurance business covid finance care life
208,229,229,07 07 2020 18 23,chennai india,esteemed speaker dr karthikeyan ramachandran consultant physical medicine amp rehabilitation addressing pa
210,232,232,07 07 2020 18 20,chennai india,esteemed speaker shri sam daniel stalin bureau chief ndtv addressing participants combating covid
220,242,242,07 07 2020 18 15,chennai india,rt per data childbirths increased govt hospitals covid retaining low mortality rates whi
233,255,255,07 07 2020 18 11,chennai india,rt 30 33 53 76 83 ages last 5 patients died icu shifts last 2 weeks due
259,284,284,07 07 2020 17 52,chennai india,rt stringent social distancing hygiene unique best practices ishayogacenter remained covid 19 free thr
266,291,291,07 07 2020 17 50,chennai india,us researchers work people like u sharing also work scare spread positivity covid
316,344,344,07 07 2020 17 32,chennai india,another tamilnadu state minister tests positive covid19 tn tngovt coronavirus corona covid
317,345,345,07 07 2020 17 31,chennai india,rt stringent social distancing hygiene unique best practices ishayogacenter remained covid 19 free thr
322,350,350,07 07 2020 17 29,chennai india,covid19 changed number things evolution employee workforce workingfromhome
368,398,398,07 07 2020 17 14,chennai india,rt stringent social distancing hygiene unique best practices ishayogacenter remained covid 19 free thr
378,408,407,07 07 2020 17 10,chennai india,rt sp 3756 new covid positive cases reported tamilnadu 1261 cases chennai discharge 3051 death 64
387,419,419,07 07 2020 17 05,chennai india,likely happen covid outcome reaction
397,429,429,07 07 2020 17 03,chennai india,rt stringent social distancing hygiene unique best practices ishayogacenter remained covid 19 free thr
402,434,434,07 07 2020 17 02,chennai india,rt stringent social distancing hygiene unique best practices ishayogacenter remained covid 19 free thr
412,444,444,07 07 2020 17 00,chennai india,markets seldom gives second chance quality names loved available price comfor
420,452,452,07 07 2020 16 56,chennai india,rt despite lockdown challenges tremendous support pwd department infrastructure expansion like layin
422,454,454,07 07 2020 16 56,inkollu chennai india,rt 30yr old prudhvi raj collapses amp dies front xenia multi speciality hospital ecil hospital allegedly shoo
433,465,465,07 07 2020 16 50,chennai india,rt anyone interesting reading understanding doubling covid data tweeted copy may hel
435,467,467,07 07 2020 16 50,chennai india,rt stringent social distancing hygiene unique best practices ishayogacenter remained covid 19 free thr
470,504,504,07 07 2020 16 37,chennai india,rt stringent social distancing hygiene unique best practices ishayogacenter remained covid 19 free thr
476,510,510,07 07 2020 16 36,chennai india,rt stringent social distancing hygiene unique best practices ishayogacenter remained covid 19 free thr
481,515,515,07 07 2020 16 34,chennai india,rt per data childbirths increased govt hospitals covid retaining low mortality rates whi
520,555,555,07 07 2020 16 24,chennai india,rt anyone interesting reading understanding doubling covid data tweeted copy may hel
543,579,579,07 07 2020 16 18,chennai india,rt iitr sars cov 2 remain suspended air dr mande dg ind covid19 covid
547,583,583,07 07 2020 16 17,chennai india,rt anyone interesting reading understanding doubling covid data tweeted copy may hel
578,615,615,07 07 2020 16 11,chennai india,rt daily tally new covid cases cross 300 mark first time day also sees biggest spike local trans
580,617,617,07 07 2020 16 10,chennai india,rt anyone interesting reading understanding doubling covid data tweeted copy may hel
603,641,641,07 07 2020 16 07,chennai india,rt anyone interesting reading understanding doubling covid data tweeted copy may hel
604,642,642,07 07 2020 16 07,chennai india,rt anyone interesting reading understanding doubling covid data tweeted copy may hel
629,667,667,07 07 2020 16 05,chennai india,rt stringent social distancing hygiene unique best practices ishayogacenter remained covid 19 free thr
668,708,707,07 07 2020 15 56,chennai india,rt madurai witnessing spike number covid cases restaurant introduced mask parotta create awa
678,718,718,07 07 2020 15 52,chennai india,rt stringent social distancing hygiene unique best practices ishayogacenter remained covid 19 free thr
682,722,722,07 07 2020 15 51,chennai india,rt stringent social distancing hygiene unique best practices ishayogacenter remained covid 19 free thr
683,723,723,07 07 2020 15 51,chennai india,rt kerala commando unit route march poonthura thiruvananthapuram covid cases local transmission
690,730,730,07 07 2020 15 48,chennai india,rt looks like rafael nadal novak djokovic highly unlikely play usopen afford thanks
736,779,779,07 07 2020 15 30,chennai india,rt tamil nadu reports 3756 cases covid today total number cases rises 122350 chennai 1261
780,824,824,07 07 2020 15 09,chennai india,rt sp breaking eb minister thangamani tested positive covid
815,860,860,07 07 2020 14 59,chennai tamil nadu india,rt stringent social distancing hygiene unique best practices ishayogacenter remained covid 19 free thr
818,866,866,07 07 2020 14 57,chennai india,rt stringent social distancing hygiene unique best practices ishayogacenter remained covid 19 free thr
830,878,878,07 07 2020 14 52,chennai india,rt stringent social distancing hygiene unique best practices ishayogacenter remained covid 19 free thr
850,899,899,07 07 2020 14 47,chennai india,rt freak 2062 new cases found karnataka 1148 cases bangalore 54 deaths due covid covid19karnataka corona
852,901,901,07 07 2020 14 47,chennai india,rt tnie karnataka today reported 2062 covid 19 cases 54 deaths 1148 new cases bengaluru total positive cases karnat
876,926,926,07 07 2020 14 38,chennai india,hello world 2020 version covid
888,939,939,07 07 2020 14 34,chennai india,rt stringent social distancing hygiene unique best practices ishayogacenter remained covid 19 free thr
895,946,946,07 07 2020 14 32,chennai india,rt tk 1 22 350 covid 19 cases 6 063 children 12 years 14 835 people 60 years tncoronaupdates coronav
932,984,984,07 07 2020 14 21,chennai india,aavin says new buttermilk help fight covid 19 stalin urges pm modi withdraw decision include
943,995,995,07 07 2020 14 15,chennai india,rt stringent social distancing hygiene unique best practices ishayogacenter remained covid 19 free thr
961,1013,1013,07 07 2020 14 10,chennai india,rt tk 1 22 350 covid 19 cases 6 063 children 12 years 14 835 people 60 years tncoronaupdates coronav
971,1023,1023,07 07 2020 14 06,chennai india,1 22 350 covid 19 cases 6 063 children 12 years 14 835 people 60 years tncoronaupdates
993,1045,1045,07 07 2020 13 59,chennai india,rt stringent social distancing hygiene unique best practices ishayogacenter remained covid 19 free thr
1021,1073,1073,07 07 2020 13 48,chennai tamilnadu india,rt innovative minds indian railways showcase creative skills combat covid ideal device ensure socialdis
1032,1084,1074,07 07 2020 13 44,chennai india,rt stringent social distancing hygiene unique best practices ishayogacenter remained covid 19 free thr
1042,1094,1094,07 07 2020 13 42,chennai india,rt 30yr old prudhvi raj collapses amp dies front xenia multi speciality hospital ecil hospital allegedly shoo
1051,1103,1103,07 07 2020 13 40,chennai india,rt tamil nadu reports 3756 cases covid today total number cases rises 122350 chennai 1261
1052,1104,1104,07 07 2020 13 40,chennai india,rt sp 3756 new covid positive cases reported tamilnadu 1261 cases chennai discharge 3051 death 64
1055,1107,1107,07 07 2020 13 38,chennai india,boost passenger confidence airline major spicejet wednesday announced unique initiative provide passen
1103,1155,1155,07 07 2020 13 27,chennai india,rt 30yr old prudhvi raj collapses amp dies front xenia multi speciality hospital ecil hospital allegedly shoo
1124,1176,1176,07 07 2020 13 21,chennai india,rt sp 3756 new covid positive cases reported tamilnadu 1261 cases chennai discharge 3051 death 64
